Time,Direction,Location_id,Count,Hour,Day
2013-06-16 11:00:00,N,167E_1EXIT,144,11,2013-06-16
2013-06-16 12:00:00,N,167E_1EXIT,118,12,2013-06-16
2013-06-16 13:00:00,N,167E_1EXIT,132,13,2013-06-16
2013-06-16 14:00:00,N,167E_1EXIT,183,14,2013-06-16
2013-06-16 15:00:00,N,167E_1EXIT,188,15,2013-06-16
2013-06-16 16:00:00,N,167E_1EXIT,203,16,2013-06-16
2013-06-16 17:00:00,N,167E_1EXIT,181,17,2013-06-16
2013-06-16 18:00:00,N,167E_1EXIT,135,18,2013-06-16
2013-06-16 19:00:00,N,167E_1EXIT,118,19,2013-06-16
2013-06-16 20:00:00,N,167E_1EXIT,125,20,2013-06-16
2013-06-16 21:00:00,N,167E_1EXIT,125,21,2013-06-16
2013-06-16 22:00:00,N,167E_1EXIT,116,22,2013-06-16
2013-06-16 23:00:00,N,167E_1EXIT,114,23,2013-06-16
2013-06-16 01:00:00,N,167E_1ENT,121,1,2013-06-16
2013-06-16 02:00:00,N,167E_1ENT,53,2,2013-06-16
2013-06-16 03:00:00,N,167E_1ENT,39,3,2013-06-16
2013-06-16 04:00:00,N,167E_1ENT,31,4,2013-06-16
2013-06-16 05:00:00,N,167E_1ENT,24,5,2013-06-16
2013-06-16 06:00:00,N,167E_1ENT,52,6,2013-06-16
2013-06-16 07:00:00,N,167E_1ENT,91,7,2013-06-16
2013-06-16 08:00:00,N,167E_1ENT,106,8,2013-06-16
2013-06-16 09:00:00,N,167E_1ENT,136,9,2013-06-16
2013-06-16 10:00:00,N,167E_1ENT,205,10,2013-06-16
2013-06-16 11:00:00,N,167E_1ENT,246,11,2013-06-16
2013-06-16 12:00:00,N,167E_1ENT,218,12,2013-06-16
2013-06-16 13:00:00,N,167E_1ENT,176,13,2013-06-16
2013-06-16 14:00:00,N,167E_1ENT,194,14,2013-06-16
2013-06-16 15:00:00,N,167E_1ENT,180,15,2013-06-16
2013-06-16 16:00:00,N,167E_1ENT,197,16,2013-06-16
2013-06-16 17:00:00,N,167E_1ENT,167,17,2013-06-16
2013-06-16 18:00:00,N,167E_1ENT,183,18,2013-06-16
2013-06-16 19:00:00,N,167E_1ENT,404,19,2013-06-16
2013-06-16 20:00:00,N,167E_1ENT,220,20,2013-06-16
2013-06-16 21:00:00,N,167E_1ENT,196,21,2013-06-16
2013-06-16 22:00:00,N,167E_1ENT,166,22,2013-06-16
2013-06-16 23:00:00,N,167E_1ENT,160,23,2013-06-16
2013-06-16 01:00:00,N,167W_1EXIT,124,1,2013-06-16
2013-06-16 02:00:00,N,167W_1EXIT,71,2,2013-06-16
2013-06-16 03:00:00,N,167W_1EXIT,41,3,2013-06-16
2013-06-16 04:00:00,N,167W_1EXIT,34,4,2013-06-16
2013-06-16 05:00:00,N,167W_1EXIT,35,5,2013-06-16
2013-06-16 06:00:00,N,167W_1EXIT,59,6,2013-06-16
2013-06-16 07:00:00,N,167W_1EXIT,75,7,2013-06-16
2013-06-16 08:00:00,N,167W_1EXIT,106,8,2013-06-16
2013-06-16 09:00:00,N,167W_1EXIT,111,9,2013-06-16
2013-06-16 10:00:00,N,167W_1EXIT,219,10,2013-06-16
2013-06-16 11:00:00,N,167W_1EXIT,277,11,2013-06-16
2013-06-16 12:00:00,N,167W_1EXIT,301,12,2013-06-16
2013-06-16 13:00:00,N,167W_1EXIT,364,13,2013-06-16
2013-06-16 14:00:00,N,167W_1EXIT,382,14,2013-06-16
2013-06-16 15:00:00,N,167W_1EXIT,376,15,2013-06-16
2013-06-16 16:00:00,N,167W_1EXIT,358,16,2013-06-16
2013-06-16 17:00:00,N,167W_1EXIT,356,17,2013-06-16
2013-06-16 18:00:00,N,167W_1EXIT,317,18,2013-06-16
2013-06-16 19:00:00,N,167W_1EXIT,292,19,2013-06-16
2013-06-16 20:00:00,N,167W_1EXIT,306,20,2013-06-16
2013-06-16 21:00:00,N,167W_1EXIT,280,21,2013-06-16
2013-06-16 22:00:00,N,167W_1EXIT,226,22,2013-06-16
2013-06-16 23:00:00,N,167W_1EXIT,158,23,2013-06-16
2013-06-16 01:00:00,N,N167_3LCS,1033,1,2013-06-16
2013-06-16 02:00:00,N,N167_3LCS,536,2,2013-06-16
2013-06-16 03:00:00,N,N167_3LCS,332,3,2013-06-16
2013-06-16 04:00:00,N,N167_3LCS,277,4,2013-06-16
2013-06-16 05:00:00,N,N167_3LCS,273,5,2013-06-16
2013-06-16 06:00:00,N,N167_3LCS,475,6,2013-06-16
2013-06-16 07:00:00,N,N167_3LCS,858,7,2013-06-16
2013-06-16 08:00:00,N,N167_3LCS,897,8,2013-06-16
2013-06-16 09:00:00,N,N167_3LCS,1162,9,2013-06-16
2013-06-16 10:00:00,N,N167_3LCS,1650,10,2013-06-16
2013-06-16 11:00:00,N,N167_3LCS,2186,11,2013-06-16
2013-06-16 12:00:00,N,N167_3LCS,2107,12,2013-06-16
2013-06-16 13:00:00,N,N167_3LCS,2034,13,2013-06-16
2013-06-16 14:00:00,N,N167_3LCS,2105,14,2013-06-16
2013-06-16 15:00:00,N,N167_3LCS,2351,15,2013-06-16
2013-06-16 16:00:00,N,N167_3LCS,2235,16,2013-06-16
2013-06-16 17:00:00,N,N167_3LCS,2251,17,2013-06-16
2013-06-16 18:00:00,N,N167_3LCS,2133,18,2013-06-16
2013-06-16 19:00:00,N,N167_3LCS,1994,19,2013-06-16
2013-06-16 20:00:00,N,N167_3LCS,2243,20,2013-06-16
2013-06-16 21:00:00,N,N167_3LCS,2122,21,2013-06-16
2013-06-16 22:00:00,N,N167_3LCS,1971,22,2013-06-16
2013-06-16 23:00:00,N,N167_3LCS,1688,23,2013-06-16
2013-06-16 01:00:00,N,167W_1ENT,244,1,2013-06-16
2013-06-16 02:00:00,N,167W_1ENT,193,2,2013-06-16
2013-06-16 03:00:00,N,167W_1ENT,129,3,2013-06-16
2013-06-16 04:00:00,N,167W_1ENT,89,4,2013-06-16
2013-06-16 05:00:00,N,167W_1ENT,78,5,2013-06-16
2013-06-16 06:00:00,N,167W_1ENT,94,6,2013-06-16
2013-06-16 07:00:00,N,167W_1ENT,154,7,2013-06-16
2013-06-16 08:00:00,N,167W_1ENT,183,8,2013-06-16
2013-06-16 09:00:00,N,167W_1ENT,266,9,2013-06-16
2013-06-16 10:00:00,N,167W_1ENT,371,10,2013-06-16
2013-06-16 11:00:00,N,167W_1ENT,467,11,2013-06-16
2013-06-16 12:00:00,N,167W_1ENT,411,12,2013-06-16
2013-06-16 13:00:00,N,167W_1ENT,367,13,2013-06-16
2013-06-16 14:00:00,N,167W_1ENT,372,14,2013-06-16
2013-06-16 15:00:00,N,167W_1ENT,453,15,2013-06-16
2013-06-16 16:00:00,N,167W_1ENT,435,16,2013-06-16
2013-06-16 17:00:00,N,167W_1ENT,467,17,2013-06-16
2013-06-16 18:00:00,N,167W_1ENT,445,18,2013-06-16
2013-06-16 19:00:00,N,167W_1ENT,446,19,2013-06-16
2013-06-16 20:00:00,N,167W_1ENT,443,20,2013-06-16
2013-06-16 21:00:00,N,167W_1ENT,376,21,2013-06-16
2013-06-16 22:00:00,N,167W_1ENT,384,22,2013-06-16
2013-06-16 23:00:00,N,167W_1ENT,444,23,2013-06-16
2013-06-16 01:00:00,N,159E_1EXIT,82,1,2013-06-16
2013-06-16 02:00:00,N,159E_1EXIT,53,2,2013-06-16
2013-06-16 03:00:00,N,159E_1EXIT,36,3,2013-06-16
2013-06-16 04:00:00,N,159E_1EXIT,30,4,2013-06-16
2013-06-16 05:00:00,N,159E_1EXIT,21,5,2013-06-16
2013-06-16 06:00:00,N,159E_1EXIT,28,6,2013-06-16
2013-06-16 07:00:00,N,159E_1EXIT,46,7,2013-06-16
2013-06-16 08:00:00,N,159E_1EXIT,39,8,2013-06-16
2013-06-16 09:00:00,N,159E_1EXIT,75,9,2013-06-16
2013-06-16 10:00:00,N,159E_1EXIT,130,10,2013-06-16
2013-06-16 11:00:00,N,159E_1EXIT,135,11,2013-06-16
2013-06-16 12:00:00,N,159E_1EXIT,140,12,2013-06-16
2013-06-16 13:00:00,N,159E_1EXIT,129,13,2013-06-16
2013-06-16 14:00:00,N,159E_1EXIT,149,14,2013-06-16
2013-06-16 15:00:00,N,159E_1EXIT,200,15,2013-06-16
2013-06-16 16:00:00,N,159E_1EXIT,180,16,2013-06-16
2013-06-16 17:00:00,N,159E_1EXIT,171,17,2013-06-16
2013-06-16 18:00:00,N,159E_1EXIT,152,18,2013-06-16
2013-06-16 19:00:00,N,159E_1EXIT,131,19,2013-06-16
2013-06-16 20:00:00,N,159E_1EXIT,128,20,2013-06-16
2013-06-16 21:00:00,N,159E_1EXIT,122,21,2013-06-16
2013-06-16 22:00:00,N,159E_1EXIT,93,22,2013-06-16
2013-06-16 23:00:00,N,159E_1EXIT,81,23,2013-06-16
2013-06-16 01:00:00,N,159E_1ENT,103,1,2013-06-16
2013-06-16 02:00:00,N,159E_1ENT,73,2,2013-06-16
2013-06-16 03:00:00,N,159E_1ENT,40,3,2013-06-16
2013-06-16 04:00:00,N,159E_1ENT,42,4,2013-06-16
2013-06-16 05:00:00,N,159E_1ENT,35,5,2013-06-16
2013-06-16 06:00:00,N,159E_1ENT,55,6,2013-06-16
2013-06-16 07:00:00,N,159E_1ENT,121,7,2013-06-16
2013-06-16 08:00:00,N,159E_1ENT,113,8,2013-06-16
2013-06-16 09:00:00,N,159E_1ENT,142,9,2013-06-16
2013-06-16 10:00:00,N,159E_1ENT,181,10,2013-06-16
2013-06-16 11:00:00,N,159E_1ENT,199,11,2013-06-16
2013-06-16 12:00:00,N,159E_1ENT,239,12,2013-06-16
2013-06-16 13:00:00,N,159E_1ENT,258,13,2013-06-16
2013-06-16 14:00:00,N,159E_1ENT,275,14,2013-06-16
2013-06-16 15:00:00,N,159E_1ENT,375,15,2013-06-16
2013-06-16 16:00:00,N,159E_1ENT,331,16,2013-06-16
2013-06-16 17:00:00,N,159E_1ENT,322,17,2013-06-16
2013-06-16 18:00:00,N,159E_1ENT,372,18,2013-06-16
2013-06-16 19:00:00,N,159E_1ENT,463,19,2013-06-16
2013-06-16 20:00:00,N,159E_1ENT,381,20,2013-06-16
2013-06-16 21:00:00,N,159E_1ENT,300,21,2013-06-16
